r,m,P
1509570.0,1.3779651751768805e+29,9.970905863049946e+27
1519570.0,1.4055070743406019e+29,9.970518985516357e+27
1529570.0,1.4334130520708026e+29,9.970129571771384e+27
1539570.0,1.4616854828480093e+29,9.969737622172554e+27
1549570.0,1.4903267407318537e+29,9.969343137079704e+27
1559570.0,1.51933919935836e+29,9.96894611685498e+27
1569570.0,1.5487252319372336e+29,9.968546561862844e+27
1579570.0,1.57848721124915e+29,9.968144472470062e+27
1589570.0,1.6086275096430455e+29,9.967739849045714e+27
1599570.0,1.639148499033408e+29,9.967332691961187e+27
1609570.0,1.670052550897568e+29,9.966923001590176e+27
1619570.0,1.7013420362729922e+29,9.966510778308682e+27
1629570.0,1.733019325754575e+29,9.966096022495017e+27
1639570.0,1.765086789491935e+29,9.965678734529794e+27
1649570.0,1.7975467971867073e+29,9.965258914795936e+27
1659570.0,1.8304017180898417e+29,9.964836563678665e+27
1669570.0,1.8636539209988968e+29,9.96441168156551e+27
1679570.0,1.8973057742553388e+29,9.963984268846307e+27
1689570.0,1.9313596457418394e+29,9.963554325913188e+27
1699570.0,1.9658179028795748e+29,9.963121853160591e+27
1709570.0,2.0006829126255253e+29,9.962686850985253e+27
1719570.0,2.0359570414697758e+29,9.962249319786214e+27
1729570.0,2.071642655432818e+29,9.96180925996481e+27
1739570.0,2.1077421200628514e+29,9.96136667192468e+27
1749570.0,2.144257800433089e+29,9.960921556071758e+27
1759570.0,2.1811920611390584e+29,9.960473912814276e+27
1769570.0,2.218547266295909e+29,9.960023742562767e+27
1779570.0,2.2563257795357166e+29,9.959571045730053e+27
1789570.0,2.2945299640047904e+29,9.959115822731258e+27
1799570.0,2.333162182360981e+29,9.958658073983795e+27
1809570.0,2.3722247967709884e+29,9.958197799907377e+27
1819570.0,2.4117201689076707e+29,9.957735000924006e+27
1829570.0,2.451650659947356e+29,9.957269677457975e+27
1839570.0,2.4920186305671526e+29,9.956801829935872e+27
1849570.0,2.5328264409422604e+29,9.956331458786573e+27
1859570.0,2.574076450743285e+29,9.955858564441245e+27
1869570.0,2.615771019133551e+29,9.955383147333347e+27
1879570.0,2.6579125047664166e+29,9.954905207898623e+27
1889570.0,2.70050326578259e+29,9.954424746575105e+27
1899570.0,2.7435456598074455e+29,9.953941763803116e+27
1909570.0,2.787042043948341e+29,9.953456260025258e+27
1919570.0,2.8309947747919365e+29,9.952968235686424e+27
1929570.0,2.8754062084015147e+29,9.95247769123379e+27
1939570.0,2.9202787003142993e+29,9.951984627116815e+27
1949570.0,2.9656146055387784e+29,9.951489043787241e+27
1959570.0,3.0114162785520257e+29,9.950990941699094e+27
1969570.0,3.0576860732970238e+29,9.95049032130868e+27
1979570.0,3.1044263431799886e+29,9.949987183074583e+27
1989570.0,3.151639441067695e+29,9.949481527457672e+27
1999570.0,3.199327719284802e+29,9.94897335492109e+27
2009570.0,3.247493529611182e+29,9.948462665930262e+27
2019570.0,3.296139223279245e+29,9.947949460952887e+27
2029570.0,3.3452671509712724e+29,9.94743374045894e+27
2039570.0,3.3948796628167444e+29,9.946915504920676e+27
2049570.0,3.444979108389671e+29,9.946394754812618e+27
2059570.0,3.4955678367059256e+29,9.945871490611569e+27
2069570.0,3.546648196220578e+29,9.945345712796602e+27
2079570.0,3.598222534825226e+29,9.944817421849062e+27
2089570.0,3.650293199845335e+29,9.944286618252568e+27
2099570.0,3.702862538037571e+29,9.943753302493003e+27
2109570.0,3.755932895587137e+29,9.943217475058528e+27
2119570.0,3.8095066181051155e+29,9.942679136439565e+27
2129570.0,3.863586050625804e+29,9.94213828712881e+27
2139570.0,3.9181735376040564e+29,9.94159492762122e+27
2149570.0,3.9732714229126256e+29,9.941049058414024e+27
2159570.0,4.028882049839504e+29,9.94050068000671e+27
2169570.0,4.0850077610852686e+29,9.939949792901037e+27
2179570.0,4.1416508987604256e+29,9.93939639760102e+27
2189570.0,4.1988138043827545e+29,9.93884049461294e+27
2199570.0,4.256498818874656e+29,9.93828208444534e+27
2209570.0,4.314708282560499e+29,9.937721167609025e+27
2219570.0,4.373444535163972e+29,9.937157744617054e+27
2229570.0,4.43270991580543e+29,9.936591815984753e+27
2239570.0,4.492506762999246e+29,9.936023382229697e+27
2249570.0,4.552837414651165e+29,9.935452443871723e+27
2259570.0,4.6137042080556556e+29,9.934879001432926e+27
2269570.0,4.675109479893265e+29,9.93430305543765e+27
2279570.0,4.737055566227974e+29,9.9337246064125e+27
2289570.0,4.7995448025045546e+29,9.933143654886327e+27
2299570.0,4.862579523545926e+29,9.93256020139024e+27
2309570.0,4.9261620635505165e+29,9.931974246457595e+27
2319570.0,4.9902947560896186e+29,9.931385790624002e+27
2329570.0,5.054979934104754e+29,9.930794834427318e+27
2339570.0,5.120219929905036e+29,9.93020137840765e+27
2349570.0,5.1860170751645296e+29,9.92960542310735e+27
2359570.0,5.252373700919619e+29,9.929006969071018e+27
2369570.0,5.3192921375663725e+29,9.928406016845502e+27
2379570.0,5.386774714857908e+29,9.92780256697989e+27
2389570.0,5.454823761901763e+29,9.927196620025516e+27
2399570.0,5.523441607157262e+29,9.926588176535957e+27
2409570.0,5.592630578432888e+29,9.92597723706703e+27
2419570.0,5.662393002883655e+29,9.925363802176794e+27
2429570.0,5.7327312070084756e+29,9.924747872425546e+27
2439570.0,5.803647516647542e+29,9.924129448375823e+27
2449570.0,5.8751442569796956e+29,9.9235085305924e+27
2459570.0,5.947223752519806e+29,9.922885119642286e+27
2469570.0,6.019888327116148e+29,9.922259216094727e+27
2479570.0,6.093140303947778e+29,9.921630820521204e+27
2489570.0,6.166982005521918e+29,9.920999933495433e+27
2499570.0,6.241415753671333e+29,9.92036655559336e+27
2509570.0,6.3164438695517144e+29,9.919730687393164e+27
2519570.0,6.392068673639065e+29,9.919092329475252e+27
2529570.0,6.46829248572708e+29,9.918451482422263e+27
2539570.0,6.545117624924539e+29,9.917808146819063e+27
2549570.0,6.622546409652685e+29,9.917162323252748e+27
2559570.0,6.700581157642622e+29,9.916514012312635e+27
2569570.0,6.779224185932698e+29,9.91586321459027e+27
2579570.0,6.858477810865896e+29,9.915209930679425e+27
2589570.0,6.938344348087232e+29,9.914554161176091e+27
2599570.0,7.018826112541142e+29,9.913895906678484e+27
2609570.0,7.09992541846888e+29,9.913235167787038e+27
2619570.0,7.181644579405912e+29,9.912571945104407e+27
2629570.0,7.263985908179317e+29,9.91190623923547e+27
2639570.0,7.34695171690518e+29,9.911238050787315e+27
